"Confidence"	"Date"	"geogcode"	"variable"	"value type"	"value"	"flag"
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000171"	"% with RQF1+ - aged 16-64"	"Conf"	4.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% aged 16-64 who are self employed"	"Numerator"	4400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% aged 16-64 who are self employed"	"Denominator"	69600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% aged 16-64 who are self employed"	"Percent"	6.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% aged 16-64 who are self employed"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"Unemployment rate - aged 16-64"	"Numerator"	#	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"Unemployment rate - aged 16-64"	"Denominator"	60300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"Unemployment rate - aged 16-64"	"Percent"	5.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF4+ - aged 16-64"	"Numerator"	36200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF4+ - aged 16-64"	"Denominator"	69000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF4+ - aged 16-64"	"Percent"	52.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF4+ - aged 16-64"	"Conf"	9.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF3+ - aged 16-64"	"Numerator"	51700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF3+ - aged 16-64"	"Denominator"	69000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF3+ - aged 16-64"	"Percent"	74.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF3+ - aged 16-64"	"Conf"	8.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF2+ - aged 16-64"	"Numerator"	61100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF2+ - aged 16-64"	"Denominator"	69000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF2+ - aged 16-64"	"Percent"	88.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF2+ - aged 16-64"	"Conf"	6.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF1+ - aged 16-64"	"Numerator"	61700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF1+ - aged 16-64"	"Denominator"	69000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF1+ - aged 16-64"	"Percent"	89.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000172"	"% with RQF1+ - aged 16-64"	"Conf"	5.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% aged 16-64 who are self employed"	"Numerator"	7900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% aged 16-64 who are self employed"	"Denominator"	74900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% aged 16-64 who are self employed"	"Percent"	10.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% aged 16-64 who are self employed"	"Conf"	4.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"Unemployment rate - aged 16-64"	"Numerator"	4500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"Unemployment rate - aged 16-64"	"Denominator"	58600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"Unemployment rate - aged 16-64"	"Percent"	7.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF4+ - aged 16-64"	"Numerator"	31200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF4+ - aged 16-64"	"Denominator"	74900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF4+ - aged 16-64"	"Percent"	41.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF4+ - aged 16-64"	"Conf"	7.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF3+ - aged 16-64"	"Numerator"	51700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF3+ - aged 16-64"	"Denominator"	74900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF3+ - aged 16-64"	"Percent"	69.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF3+ - aged 16-64"	"Conf"	7.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF2+ - aged 16-64"	"Numerator"	69800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF2+ - aged 16-64"	"Denominator"	74900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF2+ - aged 16-64"	"Percent"	93.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF2+ - aged 16-64"	"Conf"	4.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF1+ - aged 16-64"	"Numerator"	71900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF1+ - aged 16-64"	"Denominator"	74900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF1+ - aged 16-64"	"Percent"	96.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000173"	"% with RQF1+ - aged 16-64"	"Conf"	3.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% aged 16-64 who are self employed"	"Numerator"	6600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% aged 16-64 who are self employed"	"Denominator"	67600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% aged 16-64 who are self employed"	"Percent"	9.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% aged 16-64 who are self employed"	"Conf"	5.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"Unemployment rate - aged 16-64"	"Numerator"	4900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"Unemployment rate - aged 16-64"	"Denominator"	53700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"Unemployment rate - aged 16-64"	"Percent"	9.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF4+ - aged 16-64"	"Numerator"	20700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF4+ - aged 16-64"	"Denominator"	66800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF4+ - aged 16-64"	"Percent"	31.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF4+ - aged 16-64"	"Conf"	8.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF3+ - aged 16-64"	"Numerator"	36600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF3+ - aged 16-64"	"Denominator"	66800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF3+ - aged 16-64"	"Percent"	54.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF3+ - aged 16-64"	"Conf"	9.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF2+ - aged 16-64"	"Numerator"	52400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF2+ - aged 16-64"	"Denominator"	66800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF2+ - aged 16-64"	"Percent"	78.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF2+ - aged 16-64"	"Conf"	7.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF1+ - aged 16-64"	"Numerator"	54100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF1+ - aged 16-64"	"Denominator"	66800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF1+ - aged 16-64"	"Percent"	81.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000174"	"% with RQF1+ - aged 16-64"	"Conf"	7.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% aged 16-64 who are self employed"	"Numerator"	9400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% aged 16-64 who are self employed"	"Denominator"	74700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% aged 16-64 who are self employed"	"Percent"	12.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% aged 16-64 who are self employed"	"Conf"	5.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"Unemployment rate - aged 16-64"	"Numerator"	3300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"Unemployment rate - aged 16-64"	"Denominator"	59200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"Unemployment rate - aged 16-64"	"Percent"	5.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF4+ - aged 16-64"	"Numerator"	28600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF4+ - aged 16-64"	"Denominator"	73000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF4+ - aged 16-64"	"Percent"	39.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF4+ - aged 16-64"	"Conf"	8.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF3+ - aged 16-64"	"Numerator"	44900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF3+ - aged 16-64"	"Denominator"	73000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF3+ - aged 16-64"	"Percent"	61.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF3+ - aged 16-64"	"Conf"	8.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF2+ - aged 16-64"	"Numerator"	60400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF2+ - aged 16-64"	"Denominator"	73000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF2+ - aged 16-64"	"Percent"	82.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF2+ - aged 16-64"	"Conf"	6.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF1+ - aged 16-64"	"Numerator"	64500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF1+ - aged 16-64"	"Denominator"	73000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF1+ - aged 16-64"	"Percent"	88.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000175"	"% with RQF1+ - aged 16-64"	"Conf"	5.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% aged 16-64 who are self employed"	"Numerator"	8900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% aged 16-64 who are self employed"	"Denominator"	75300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% aged 16-64 who are self employed"	"Percent"	11.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% aged 16-64 who are self employed"	"Conf"	5.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"Unemployment rate - aged 16-64"	"Numerator"	2200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"Unemployment rate - aged 16-64"	"Denominator"	64400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"Unemployment rate - aged 16-64"	"Percent"	3.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF4+ - aged 16-64"	"Numerator"	40700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF4+ - aged 16-64"	"Denominator"	75300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF4+ - aged 16-64"	"Percent"	54.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF4+ - aged 16-64"	"Conf"	7.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF3+ - aged 16-64"	"Numerator"	54900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF3+ - aged 16-64"	"Denominator"	75300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF3+ - aged 16-64"	"Percent"	72.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF3+ - aged 16-64"	"Conf"	7.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF2+ - aged 16-64"	"Numerator"	67300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF2+ - aged 16-64"	"Denominator"	75300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF2+ - aged 16-64"	"Percent"	89.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF2+ - aged 16-64"	"Conf"	4.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF1+ - aged 16-64"	"Numerator"	69100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF1+ - aged 16-64"	"Denominator"	75300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF1+ - aged 16-64"	"Percent"	91.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E07000176"	"% with RQF1+ - aged 16-64"	"Conf"	4.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% aged 16-64 who are self employed"	"Numerator"	15700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% aged 16-64 who are self employed"	"Denominator"	112600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% aged 16-64 who are self employed"	"Percent"	13.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% aged 16-64 who are self employed"	"Conf"	3.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"Unemployment rate - aged 16-64"	"Numerator"	1400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"Unemployment rate - aged 16-64"	"Denominator"	91500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"Unemployment rate - aged 16-64"	"Percent"	1.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF4+ - aged 16-64"	"Numerator"	49000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF4+ - aged 16-64"	"Denominator"	111300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF4+ - aged 16-64"	"Percent"	44.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF4+ - aged 16-64"	"Conf"	5.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF3+ - aged 16-64"	"Numerator"	76300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF3+ - aged 16-64"	"Denominator"	111300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF3+ - aged 16-64"	"Percent"	68.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF3+ - aged 16-64"	"Conf"	4.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF2+ - aged 16-64"	"Numerator"	97600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF2+ - aged 16-64"	"Denominator"	111300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF2+ - aged 16-64"	"Percent"	87.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF2+ - aged 16-64"	"Conf"	3.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF1+ - aged 16-64"	"Numerator"	101600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF1+ - aged 16-64"	"Denominator"	111300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF1+ - aged 16-64"	"Percent"	91.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000019"	"% with RQF1+ - aged 16-64"	"Conf"	2.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% aged 16-64 who are self employed"	"Numerator"	8600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% aged 16-64 who are self employed"	"Denominator"	111400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% aged 16-64 who are self employed"	"Percent"	7.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% aged 16-64 who are self employed"	"Conf"	3.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"Unemployment rate - aged 16-64"	"Numerator"	2200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"Unemployment rate - aged 16-64"	"Denominator"	85900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"Unemployment rate - aged 16-64"	"Percent"	2.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF4+ - aged 16-64"	"Numerator"	37100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF4+ - aged 16-64"	"Denominator"	100800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF4+ - aged 16-64"	"Percent"	36.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF4+ - aged 16-64"	"Conf"	5.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF3+ - aged 16-64"	"Numerator"	57700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF3+ - aged 16-64"	"Denominator"	100800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF3+ - aged 16-64"	"Percent"	57.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF3+ - aged 16-64"	"Conf"	5.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF2+ - aged 16-64"	"Numerator"	89000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF2+ - aged 16-64"	"Denominator"	100800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF2+ - aged 16-64"	"Percent"	88.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF2+ - aged 16-64"	"Conf"	3.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF1+ - aged 16-64"	"Numerator"	89200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF1+ - aged 16-64"	"Denominator"	100800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF1+ - aged 16-64"	"Percent"	88.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000020"	"% with RQF1+ - aged 16-64"	"Conf"	3.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% aged 16-64 who are self employed"	"Numerator"	9400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% aged 16-64 who are self employed"	"Denominator"	158900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% aged 16-64 who are self employed"	"Percent"	5.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% aged 16-64 who are self employed"	"Conf"	2.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"Unemployment rate - aged 16-64"	"Numerator"	3000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"Unemployment rate - aged 16-64"	"Denominator"	117800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"Unemployment rate - aged 16-64"	"Percent"	2.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF4+ - aged 16-64"	"Numerator"	68300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF4+ - aged 16-64"	"Denominator"	154700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF4+ - aged 16-64"	"Percent"	44.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF4+ - aged 16-64"	"Conf"	5.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF3+ - aged 16-64"	"Numerator"	96400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF3+ - aged 16-64"	"Denominator"	154700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF3+ - aged 16-64"	"Percent"	62.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF3+ - aged 16-64"	"Conf"	5.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF2+ - aged 16-64"	"Numerator"	129800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF2+ - aged 16-64"	"Denominator"	154700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF2+ - aged 16-64"	"Percent"	83.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF2+ - aged 16-64"	"Conf"	4.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF1+ - aged 16-64"	"Numerator"	137000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF1+ - aged 16-64"	"Denominator"	154700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000021"	"% with RQF1+ - aged 16-64"	"Percent"	88.6	""
