"Population"	"Units"	"Date"	"geogcode"	"Industry (current)"	"value type"	"value"	"flag"
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"N: Administrative and support service activities"	"number"	2795	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"N: Administrative and support service activities"	"%"	8.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"O: Public administration and defence; compulsory social security"	"number"	1032	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"O: Public administration and defence; compulsory social security"	"%"	3.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"P: Education"	"number"	2138	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"P: Education"	"%"	6.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"Q: Human health and social work activities"	"number"	5191	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"Q: Human health and social work activities"	"%"	15.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"R, S, T, U Other"	"number"	1014	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000136"	"R, S, T, U Other"	"%"	3.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	55576	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"A: Agriculture, Forestry and fishing"	"number"	2753	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"A: Agriculture, Forestry and fishing"	"%"	5.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"B: Mining and quarrying"	"number"	123	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"B: Mining and quarrying"	"%"	0.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"C: Manufacturing"	"number"	4355	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"C: Manufacturing"	"%"	7.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"D: Electricity, gas, steam and air conditioning supply"	"number"	253	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	564	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"F: Construction"	"number"	4892	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"F: Construction"	"%"	8.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	9349	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	16.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"H: Transport and storage"	"number"	2158	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"H: Transport and storage"	"%"	3.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"I: Accommodation and food service activities"	"number"	4518	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"I: Accommodation and food service activities"	"%"	8.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"J: Information and communication"	"number"	833	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"J: Information and communication"	"%"	1.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"K: Financial and insurance activities"	"number"	437	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"K: Financial and insurance activities"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"L: Real estate activities"	"number"	752	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"L: Real estate activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"M: Professional, scientific and technical activities"	"number"	2059	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"M: Professional, scientific and technical activities"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"N: Administrative and support service activities"	"number"	2824	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"N: Administrative and support service activities"	"%"	5.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"O: Public administration and defence; compulsory social security"	"number"	3711	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"O: Public administration and defence; compulsory social security"	"%"	6.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"P: Education"	"number"	4891	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"P: Education"	"%"	8.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"Q: Human health and social work activities"	"number"	7982	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"Q: Human health and social work activities"	"%"	14.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"R, S, T, U Other"	"number"	3122	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000137"	"R, S, T, U Other"	"%"	5.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	46714	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"A: Agriculture, Forestry and fishing"	"number"	361	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"A: Agriculture, Forestry and fishing"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"B: Mining and quarrying"	"number"	62	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"B: Mining and quarrying"	"%"	0.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"C: Manufacturing"	"number"	4355	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"C: Manufacturing"	"%"	9.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"D: Electricity, gas, steam and air conditioning supply"	"number"	305	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	671	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"F: Construction"	"number"	3759	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"F: Construction"	"%"	8.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	8718	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	18.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"H: Transport and storage"	"number"	1973	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"H: Transport and storage"	"%"	4.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"I: Accommodation and food service activities"	"number"	2977	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"I: Accommodation and food service activities"	"%"	6.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"J: Information and communication"	"number"	1420	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"J: Information and communication"	"%"	3.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"K: Financial and insurance activities"	"number"	457	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"K: Financial and insurance activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"L: Real estate activities"	"number"	468	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"L: Real estate activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"M: Professional, scientific and technical activities"	"number"	1570	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"M: Professional, scientific and technical activities"	"%"	3.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"N: Administrative and support service activities"	"number"	2578	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"N: Administrative and support service activities"	"%"	5.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"O: Public administration and defence; compulsory social security"	"number"	3057	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"O: Public administration and defence; compulsory social security"	"%"	6.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"P: Education"	"number"	4456	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"P: Education"	"%"	9.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"Q: Human health and social work activities"	"number"	7656	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"Q: Human health and social work activities"	"%"	16.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"R, S, T, U Other"	"number"	1871	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000138"	"R, S, T, U Other"	"%"	4.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	56893	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"A: Agriculture, Forestry and fishing"	"number"	1524	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"A: Agriculture, Forestry and fishing"	"%"	2.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"B: Mining and quarrying"	"number"	141	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"B: Mining and quarrying"	"%"	0.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"C: Manufacturing"	"number"	4372	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"C: Manufacturing"	"%"	7.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"D: Electricity, gas, steam and air conditioning supply"	"number"	437	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	800	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"F: Construction"	"number"	5080	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"F: Construction"	"%"	8.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	7791	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	13.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"H: Transport and storage"	"number"	2112	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"H: Transport and storage"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"I: Accommodation and food service activities"	"number"	2263	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"I: Accommodation and food service activities"	"%"	4.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"J: Information and communication"	"number"	1700	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"J: Information and communication"	"%"	3.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"K: Financial and insurance activities"	"number"	746	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"K: Financial and insurance activities"	"%"	1.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"L: Real estate activities"	"number"	583	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"L: Real estate activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"M: Professional, scientific and technical activities"	"number"	2463	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"M: Professional, scientific and technical activities"	"%"	4.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"N: Administrative and support service activities"	"number"	2340	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"N: Administrative and support service activities"	"%"	4.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"O: Public administration and defence; compulsory social security"	"number"	8132	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"O: Public administration and defence; compulsory social security"	"%"	14.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"P: Education"	"number"	5758	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"P: Education"	"%"	10.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"Q: Human health and social work activities"	"number"	8397	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"Q: Human health and social work activities"	"%"	14.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"R, S, T, U Other"	"number"	2254	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000139"	"R, S, T, U Other"	"%"	4.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	45238	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"A: Agriculture, Forestry and fishing"	"number"	2185	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"A: Agriculture, Forestry and fishing"	"%"	4.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"B: Mining and quarrying"	"number"	35	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"B: Mining and quarrying"	"%"	0.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"C: Manufacturing"	"number"	6565	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"C: Manufacturing"	"%"	14.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"D: Electricity, gas, steam and air conditioning supply"	"number"	153	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	354	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"F: Construction"	"number"	4101	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"F: Construction"	"%"	9.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	9338	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	20.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"H: Transport and storage"	"number"	3247	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"H: Transport and storage"	"%"	7.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"I: Accommodation and food service activities"	"number"	1919	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"I: Accommodation and food service activities"	"%"	4.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"J: Information and communication"	"number"	829	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"J: Information and communication"	"%"	1.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"K: Financial and insurance activities"	"number"	723	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"K: Financial and insurance activities"	"%"	1.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"L: Real estate activities"	"number"	458	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"L: Real estate activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"M: Professional, scientific and technical activities"	"number"	1657	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"M: Professional, scientific and technical activities"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"N: Administrative and support service activities"	"number"	2658	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"N: Administrative and support service activities"	"%"	5.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"O: Public administration and defence; compulsory social security"	"number"	1594	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"O: Public administration and defence; compulsory social security"	"%"	3.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"P: Education"	"number"	3157	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"P: Education"	"%"	7.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"Q: Human health and social work activities"	"number"	4863	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"Q: Human health and social work activities"	"%"	10.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"R, S, T, U Other"	"number"	1402	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000140"	"R, S, T, U Other"	"%"	3.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	68189	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"A: Agriculture, Forestry and fishing"	"number"	1385	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"A: Agriculture, Forestry and fishing"	"%"	2.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"B: Mining and quarrying"	"number"	104	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"B: Mining and quarrying"	"%"	0.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"C: Manufacturing"	"number"	6712	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"C: Manufacturing"	"%"	9.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"D: Electricity, gas, steam and air conditioning supply"	"number"	347	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	665	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"F: Construction"	"number"	6328	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"F: Construction"	"%"	9.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	11397	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	16.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"H: Transport and storage"	"number"	2838	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"H: Transport and storage"	"%"	4.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"I: Accommodation and food service activities"	"number"	3028	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"I: Accommodation and food service activities"	"%"	4.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"J: Information and communication"	"number"	2451	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"J: Information and communication"	"%"	3.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"K: Financial and insurance activities"	"number"	2089	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"K: Financial and insurance activities"	"%"	3.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"L: Real estate activities"	"number"	906	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"L: Real estate activities"	"%"	1.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"M: Professional, scientific and technical activities"	"number"	3736	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"M: Professional, scientific and technical activities"	"%"	5.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"N: Administrative and support service activities"	"number"	3249	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"N: Administrative and support service activities"	"%"	4.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"O: Public administration and defence; compulsory social security"	"number"	4107	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"O: Public administration and defence; compulsory social security"	"%"	6.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"P: Education"	"number"	7042	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"P: Education"	"%"	10.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"Q: Human health and social work activities"	"number"	8764	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"Q: Human health and social work activities"	"%"	12.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"R, S, T, U Other"	"number"	3041	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000141"	"R, S, T, U Other"	"%"	4.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	42137	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"A: Agriculture, Forestry and fishing"	"number"	1721	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"A: Agriculture, Forestry and fishing"	"%"	4.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"B: Mining and quarrying"	"number"	125	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"B: Mining and quarrying"	"%"	0.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E07000142"	"C: Manufacturing"	"number"	3946	""
